               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               1.463,              22.076,              1.3323,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0865,              0.0015,              0.0015
                   1,              2.3979,              4.2133,              2.2696,                   0,                   0,                   0,                   0,                   0,                 nan,                   0,            0.072069,           0.0030693,           0.0030693
                   2,               1.794,              2.8608,              1.9156,             0.10007,            0.023627,          5.0972e-05,          9.0303e-06,                   0,                 nan,                   0,            0.057607,           0.0046069,           0.0046069
                   3,              1.5428,               2.248,              1.6795,           0.0077053,            0.036458,           0.0081413,           0.0024417,                   0,                 nan,                   0,            0.043113,           0.0061129,           0.0061129
                   4,              1.4196,              1.9143,              1.6073,              0.1646,            0.050898,            0.038824,            0.021972,                 nan,                 nan,                 nan,            0.028587,           0.0075872,           0.0075872
                   5,              1.3713,              1.8101,              1.5612,              0.5926,             0.14992,            0.079924,            0.032257,                 nan,                 nan,                 nan,             0.01403,           0.0090297,           0.0090297
                   6,              1.2816,              1.6715,              1.5109,             0.16122,             0.38139,             0.18024,            0.092193,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   7,               1.221,              1.5816,              1.4537,             0.25574,              0.5442,             0.33019,             0.20468,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   8,              1.1921,              1.5712,              1.4668,             0.35811,             0.42687,             0.37042,             0.25289,              1.5715,                 nan,              2.6279,            0.009307,            0.009307,            0.009307
                   9,              1.1982,              1.3807,              1.4726,             0.12295,             0.33839,             0.11722,            0.066597,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                  10,              1.0801,               1.291,               1.347,             0.44225,             0.54621,             0.47308,             0.30797,              1.4511,              5.8013,               2.286,            0.009109,            0.009109,            0.009109
                  11,              1.1007,              1.4315,              1.3548,             0.42255,             0.50535,             0.45411,             0.32888,              1.4551,              3.5361,               2.138,             0.00901,             0.00901,             0.00901
                  12,              1.1441,              1.3832,              1.4178,             0.44504,              0.5134,             0.52208,             0.38107,              1.5044,              4.1402,              2.1459,            0.008911,            0.008911,            0.008911
                  13,              1.0964,              1.2789,              1.3824,             0.42842,             0.57267,             0.50574,             0.36277,              1.3015,              2.8728,              1.7878,            0.008812,            0.008812,            0.008812
                  14,             0.98515,              1.2052,              1.3034,             0.46836,             0.59026,             0.56913,              0.4111,              1.2387,              2.0397,              1.7648,            0.008713,            0.008713,            0.008713
                  15,              1.0424,              1.2079,              1.3524,             0.52249,             0.61786,             0.59609,              0.4305,              1.2362,              1.9347,              1.6959,            0.008614,            0.008614,            0.008614
                  16,             0.91585,              1.0769,              1.2321,             0.52036,             0.64872,             0.57289,             0.42181,              1.3367,               2.169,              1.9466,            0.008515,            0.008515,            0.008515
                  17,              0.9189,              1.0686,              1.2603,             0.51566,             0.71224,             0.64176,             0.48451,               1.139,              1.6165,              1.5654,            0.008416,            0.008416,            0.008416
                  18,             0.90113,              1.0466,              1.2076,               0.649,             0.69688,             0.69044,             0.49833,              1.2039,              1.4348,              1.6617,            0.008317,            0.008317,            0.008317
                  19,             0.88683,              1.0267,              1.1935,             0.54125,             0.72594,             0.67277,             0.48107,              1.3047,              1.4041,               1.849,            0.008218,            0.008218,            0.008218
                  20,             0.94042,              1.0133,              1.2059,             0.57443,             0.76029,              0.6784,             0.49886,               1.131,              1.4046,              1.5524,            0.008119,            0.008119,            0.008119
                  21,             0.88708,              1.0109,              1.2062,               0.562,             0.66876,             0.65842,             0.49947,              1.0596,              1.3261,              1.4731,             0.00802,             0.00802,             0.00802
                  22,             0.85017,             0.96176,              1.1997,             0.61201,             0.72157,             0.66044,             0.50449,              1.0579,              1.4977,              1.4879,            0.007921,            0.007921,            0.007921
                  23,             0.85343,             0.91574,              1.2065,               0.598,             0.71216,             0.67606,             0.51698,              1.0511,              1.3744,              1.4885,            0.007822,            0.007822,            0.007822
                  24,              0.7838,             0.89456,              1.1575,             0.58151,             0.72019,             0.67108,             0.51207,              1.0657,              1.3538,              1.5067,            0.007723,            0.007723,            0.007723
                  25,              0.7922,             0.89283,              1.1411,             0.59131,             0.76976,             0.71109,             0.54273,              1.0713,              1.2571,              1.5133,            0.007624,            0.007624,            0.007624
                  26,             0.75431,             0.84391,              1.0937,             0.59578,             0.71566,             0.67931,             0.53841,             0.95366,              1.3219,              1.4039,            0.007525,            0.007525,            0.007525
                  27,             0.74062,             0.85606,              1.1117,             0.64014,               0.746,             0.70902,             0.55264,             0.97172,              1.1593,              1.4153,            0.007426,            0.007426,            0.007426
                  28,             0.73786,             0.80875,              1.0918,             0.60928,             0.77205,             0.73142,              0.5747,              1.0175,              1.2925,              1.4563,            0.007327,            0.007327,            0.007327
                  29,             0.78562,             0.88381,              1.1296,             0.59273,             0.75226,             0.72967,             0.57261,             0.99409,              1.3414,              1.4213,            0.007228,            0.007228,            0.007228
                  30,              0.7799,              0.8243,              1.1473,             0.67313,             0.75014,             0.74417,             0.59425,             0.95066,              1.1907,              1.3956,            0.007129,            0.007129,            0.007129
                  31,             0.75717,             0.81834,              1.1209,             0.62285,             0.72672,             0.70562,             0.54355,             0.98961,              1.3111,              1.4364,             0.00703,             0.00703,             0.00703
                  32,             0.77452,             0.86139,              1.1051,             0.63322,             0.67267,             0.68721,             0.52785,              1.0346,              1.3363,              1.4459,            0.006931,            0.006931,            0.006931
                  33,             0.80266,             0.83682,              1.1695,              0.6352,             0.79935,             0.73722,             0.56592,             0.95246,              1.1717,              1.3802,            0.006832,            0.006832,            0.006832
                  34,             0.75479,             0.81326,                1.11,             0.62987,             0.78208,             0.71626,              0.5599,             0.90164,              1.1115,              1.3527,            0.006733,            0.006733,            0.006733
                  35,             0.72185,             0.76629,              1.0912,             0.63153,             0.81734,             0.71836,              0.5722,             0.88335,               1.132,               1.356,            0.006634,            0.006634,            0.006634
                  36,             0.74056,             0.80204,              1.0957,             0.62047,             0.73757,             0.72135,             0.57283,             0.93562,              1.1492,              1.4004,            0.006535,            0.006535,            0.006535
                  37,             0.69149,             0.73131,              1.0345,             0.65496,             0.73588,             0.73684,             0.58899,             0.89913,              1.0844,              1.3483,            0.006436,            0.006436,            0.006436
                  38,             0.66368,              0.7103,               1.051,             0.65685,             0.74401,             0.73658,             0.60267,             0.86802,              1.1334,               1.352,            0.006337,            0.006337,            0.006337
                  39,             0.71314,             0.74552,              1.0517,              0.6278,             0.80619,             0.73174,             0.58204,             0.90118,              1.1302,              1.3873,            0.006238,            0.006238,            0.006238
                  40,             0.68557,             0.70799,              1.0714,             0.66047,              0.7949,             0.72774,             0.58116,             0.91858,              1.0973,              1.3993,            0.006139,            0.006139,            0.006139
